"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L11264","Main","SandboxEvolutionRunner.Program.Main(string[])void","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","47","9","53","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","1","1","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0","0"
"L11267","Run","SandboxEvolutionRunner.Program.Run(SandboxEvolutionRunner.Utils.Options)void","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","55","9","101","10","0","0","0","0","0","0","0","1","0","0","0","41","47","7","0","0","0","10","13","1","0","1","41","47","13","0","0","0","0","0","0","0","0","0","0","0"
"L11346","LoadMapDescription","SandboxEvolutionRunner.Program.LoadMapDescription(string)Edgar.Legacy.Core.MapDescriptions.MapDescription<int>","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","103","9","117","10","0","0","0","0","0","0","0","0","0","0","0","13","15","1","0","0","0","1","3","1","0","0","13","15","3","0","0","0","0","0","0","0","0","0","0","0"
"L11351","RunOld","SandboxEvolutionRunner.Program.RunOld(SandboxEvolutionRunner.Utils.Options)void","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","119","9","277","10","0","0","0","0","0","0","0","4","0","0","0","115","141","9","0","0","0","15","42","1","0","4","128","159","42","0","0","4","0","0","1","0","0","1","0","3"
"L11449","AnalyzeMutations","SandboxEvolutionRunner.Program.AnalyzeMutations(List<SandboxEvolutionRunner.Evolution.Result>)void","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","279","9","330","10","0","0","0","0","0","0","0","0","0","0","0","42","52","7","0","0","0","3","22","1","0","0","42","52","22","0","0","0","0","0","0","0","0","0","0","0"
"L11486","GetGeneratorRunnerFactory","SandboxEvolutionRunner.Program.GetGeneratorRunnerFactory(Edgar.Legacy.Benchmarks.GeneratorInput<Edgar.Legacy.Core.MapDescriptions.Interfaces.IMapDescription<int>>)Edgar.Legacy.Benchmarks.Interfaces.IGeneratorRunner","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","341","9","373","10","0.526627","2","2","0","2","0.69697","0.666667","0","0","23","16","26","12","1","0","0","0","2","5","1","0","0","323","33","5","0","0","15","0","0","0","14","0","0","0","1"
"L11509","RunEvolution","SandboxEvolutionRunner.Program.RunEvolution(SandboxEvolutionRunner.Evolution.Input, SandboxEvolutionRunner.Utils.Options, List<Edgar.Legacy.Utils.MetaOptimization.Mutations.IPerformanceAnalyzer<Edgar.Legacy.Core.LayoutGenerators.DungeonGenerator.DungeonGeneratorConfiguration<int>, Edgar.Legacy.Utils.MetaOptimization.Evolution.DungeonGeneratorEvolution.Individual<int>>>)SandboxEvolutionRunner.Evolution.Result","L11261","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","375","9","395","10","0","0","0","0","0","0","0","0","0","0","0","19","21","2","0","0","0","18","3","3","0","0","19","21","3","0","0","1","0","0","0","0","0","1","0","0"
"L12277","Main","PerformanceTests.Program.Main(string[])void","L12239","L12235","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.PerformanceTests\Program.cs","31","9","38","10","0","0","0","0","0","0","0","5","0","0","0","3","8","1","0","0","0","0","0","1","0","5","3","8","0","0","0","0","0","0","0","0","0","0","0","0"
"L14024","SetupCatching","GUI.GuiExceptionHandler.SetupCatching()void","L14023","L14013","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.GUI\GuiExceptionHandler.cs","12","3","26","4","0","0","0","0","0","0","0","7","3","0","0","9","15","2","0","0","0","0","4","0","0","7","9","15","4","0","0","0","0","0","0","0","0","0","0","0"
"L14059","UIThreadException","GUI.GuiExceptionHandler.UIThreadException(object, System.Threading.ThreadExceptionEventArgs)void","L14023","L14013","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.GUI\GuiExceptionHandler.cs","28","3","31","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L14081","UnhandledException","GUI.GuiExceptionHandler.UnhandledException(object, System.UnhandledExceptionEventArgs)void","L14023","L14013","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.GUI\GuiExceptionHandler.cs","33","3","43","4","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","0","3","2","0","0","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L16064","Main","GUI.Program.Main()void","L16063","L14013","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.GUI\Program.cs","14","3","22","4","0","0","0","0","0","0","0","0","0","0","0","8","9","1","0","0","0","2","4","0","0","0","8","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L16550","Main","Sandbox.Program.Main()void","L16186","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","40","3","67","10","0","0","0","0","0","0","0","15","0","0","0","8","28","1","0","0","0","2","4","0","0","15","8","28","4","0","0","0","0","0","0","0","0","0","0","0"
"L16553","CompareWithReference","Sandbox.Program.CompareWithReference()void","L16186","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","69","9","143","10","0","0","0","0","0","0","0","7","0","0","0","29","41","3","0","0","0","3","18","0","0","7","347","75","18","0","0","1","0","0","0","0","0","0","0","1"
"L16560","RunExample","Sandbox.Program.RunExample()void","L16186","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","148","3","185","10","0","0","0","0","0","0","0","11","3","0","0","21","38","1","0","0","0","11","5","0","0","11","21","38","5","0","0","1","0","0","0","0","0","1","0","0"
"L16551","RunExampleNew","Sandbox.Program.RunExampleNew()void","L16186","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","187","9","217","10","0","0","0","0","0","0","0","0","0","0","0","24","31","1","0","0","0","13","8","0","0","0","24","31","8","0","0","1","0","0","0","0","0","1","0","0"
"L16563","RunBenchmark","Sandbox.Program.RunBenchmark()System.Threading.Tasks.Task","L16186","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","222","9","244","10","0","0","0","0","0","0","0","19","3","0","0","3","23","1","0","0","0","0","0","0","0","19","3","23","0","0","0","0","0","0","0","0","0","0","0","0"
"L16189","GetMapDescriptionsSet","Sandbox.Program.GetMapDescriptionsSet(Edgar.Geometry.Vector2Int, bool, System.Collections.Generic.List<int>, bool, Edgar.GraphBasedGenerator.Common.RoomTemplateRepeatMode?, Edgar.Legacy.Core.MapDescriptions.BasicRoomDescription, string)System.Collections.Generic.List<Sandbox.Utils.DungeonGeneratorInput<int>>","L16186","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","338","9","424","10","0.648188","1","2","0","2","0.666667","0.708861","77","77","58","56","79","87","2","0","0","0","2","21","7","0","77","79","87","21","0","0","9","0","0","1","7","0","0","0","2"
"L139",".ctor","Edgar.Geometry.OrthogonalLineGrid2D.OrthogonalLineGrid2D(Edgar.Geometry.Vector2Int, Edgar.Geometry.Vector2Int)void","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","34","3","44","4","0","0","0","0","0","0","0","6","6","0","0","10","11","3","0","0","0","0","5","2","0","6","10","11","5","0","0","0","0","0","0","0","0","0","0","0"
"L155",".ctor","Edgar.Geometry.OrthogonalLineGrid2D.OrthogonalLineGrid2D(Edgar.Geometry.Vector2Int, Edgar.Geometry.Vector2Int, Edgar.Geometry.OrthogonalLineGrid2D.Direction)void","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","59","9","75","4","0","0","0","0","0","0","0","0","0","0","0","15","17","6","0","0","0","2","7","3","0","0","15","17","7","0","0","0","0","0","0","0","0","0","0","0"
"L170","GetDirection","Edgar.Geometry.OrthogonalLineGrid2D.GetDirection()Edgar.Geometry.OrthogonalLineGrid2D.Direction","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","85","3","94","4","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","2","3","0","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L168","GetDirection","Edgar.Geometry.OrthogonalLineGrid2D.GetDirection(Edgar.Geometry.Vector2Int, Edgar.Geometry.Vector2Int)Edgar.Geometry.OrthogonalLineGrid2D.Direction","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","103","3","121","4","0","0","0","0","0","0","0","7","7","0","0","16","19","6","0","0","0","1","7","2","0","7","16","19","7","0","0","0","0","0","1","0","0","0","0","0"
"L184","Rotate","Edgar.Geometry.OrthogonalLineGrid2D.Rotate(int, bool)Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","133","3","145","4","0","0","0","0","0","0","0","0","0","0","0","11","13","3","0","0","0","5","5","2","0","0","11","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L199","SwitchOrientation","Edgar.Geometry.OrthogonalLineGrid2D.SwitchOrientation()Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","151","3","154","4","0","0","0","0","0","0","0","4","4","0","0","4","4","1","0","0","0","3","1","0","0","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L203","Shrink","Edgar.Geometry.OrthogonalLineGrid2D.Shrink(int, int)Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","165","3","177","4","0","0","0","0","0","0","0","9","9","0","0","10","13","2","0","0","0","5","7","2","0","9","10","13","7","0","0","0","0","0","0","0","0","0","0","0"
"L210","Shrink","Edgar.Geometry.OrthogonalLineGrid2D.Shrink(int)Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","184","3","187","4","0","0","0","0","0","0","0","5","5","0","0","4","4","1","0","0","0","1","1","1","0","5","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L207","ComputeRotation","Edgar.Geometry.OrthogonalLineGrid2D.ComputeRotation()int","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","193","3","212","4","0","0","0","0","0","0","0","4","4","0","0","16","20","5","0","0","0","1","6","0","0","4","16","20","6","0","0","0","0","0","0","0","0","0","0","0"
"L201","GetOppositeDirection","Edgar.Geometry.OrthogonalLineGrid2D.GetOppositeDirection(Edgar.Geometry.OrthogonalLineGrid2D.Direction)Edgar.Geometry.OrthogonalLineGrid2D.Direction","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","219","3","241","4","0","0","0","0","0","0","0","5","5","0","0","18","23","6","0","0","0","0","7","1","0","5","18","23","7","0","0","0","0","0","1","0","0","0","0","0"
"L217","GetPoints","Edgar.Geometry.OrthogonalLineGrid2D.GetPoints()List<Edgar.Geometry.Vector2Int>","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","248","3","279","4","0","0","0","0","0","0","0","5","5","0","0","29","32","9","0","0","0","3","18","0","0","5","29","32","18","0","0","0","0","0","0","0","0","0","0","0"
"L195","RotateDirection","Edgar.Geometry.OrthogonalLineGrid2D.RotateDirection(Edgar.Geometry.OrthogonalLineGrid2D.Direction, int)Edgar.Geometry.OrthogonalLineGrid2D.Direction","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","290","3","305","4","0","0","0","0","0","0","0","9","9","0","0","12","16","3","0","0","0","1","9","2","0","9","12","16","9","0","0","0","0","0","0","0","0","0","0","0"
"L238","GetNormalized","Edgar.Geometry.OrthogonalLineGrid2D.GetNormalized()Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","311","3","319","4","0","0","0","0","0","0","0","4","4","0","0","8","9","3","0","0","0","3","3","0","0","4","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L242","GetNthPoint","Edgar.Geometry.OrthogonalLineGrid2D.GetNthPoint(int)Edgar.Geometry.Vector2Int","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","327","3","355","4","0","0","0","0","0","0","0","0","0","0","0","26","29","8","0","0","0","4","12","1","0","0","26","29","12","0","0","0","0","0","1","0","0","0","0","0"
"L248","Contains","Edgar.Geometry.OrthogonalLineGrid2D.Contains(Edgar.Geometry.Vector2Int)int","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","365","3","418","4","0","0","0","0","0","0","0","0","0","0","0","51","54","19","0","0","0","2","19","1","0","0","51","54","19","0","0","1","0","0","1","0","1","0","0","0"
"L250","GetDirectionVector","Edgar.Geometry.OrthogonalLineGrid2D.GetDirectionVector()Edgar.Geometry.Vector2Int","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","427","3","445","4","0","0","0","0","0","0","0","0","0","0","0","19","19","6","0","0","0","2","7","0","0","0","19","19","7","0","0","0","0","0","1","0","0","0","0","0"
"L251","op_Addition","Edgar.Geometry.OrthogonalLineGrid2D.operator +(Edgar.Geometry.OrthogonalLineGrid2D, Edgar.Geometry.Vector2Int)Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","455","3","458","4","0","0","0","0","0","0","0","6","6","0","0","4","4","1","0","0","0","3","1","2","0","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L255","op_Addition","Edgar.Geometry.OrthogonalLineGrid2D.operator +(Edgar.Geometry.Vector2Int, Edgar.Geometry.OrthogonalLineGrid2D)Edgar.Geometry.OrthogonalLineGrid2D","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","466","3","469","4","0","0","0","0","0","0","0","6","6","0","0","4","4","1","0","0","0","1","1","2","0","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L259","Equals","Edgar.Geometry.OrthogonalLineGrid2D.Equals(Edgar.Geometry.OrthogonalLineGrid2D)bool","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","474","3","477","4","0","0","0","0","0","0","0","1","1","0","0","4","4","2","0","0","0","1","1","1","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L264","Equals","Edgar.Geometry.OrthogonalLineGrid2D.Equals(object)bool","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","480","3","485","4","0","0","0","0","0","0","0","1","1","0","0","5","6","3","0","0","0","1","3","1","0","1","5","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L270","GetHashCode","Edgar.Geometry.OrthogonalLineGrid2D.GetHashCode()int","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","488","3","494","4","0","0","0","0","0","0","0","1","1","0","0","6","7","1","0","0","0","1","2","0","0","1","6","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L273","ToString","Edgar.Geometry.OrthogonalLineGrid2D.ToString()string","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","497","3","500","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","2","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L279","ToStringShort","Edgar.Geometry.OrthogonalLineGrid2D.ToStringShort()string","L120","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\OrthogonalLineGrid2D.cs","502","9","505","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L291","get_BoundingRectangle","Edgar.Geometry.PolygonGrid2D.BoundingRectangle.getEdgar.Geometry.RectangleGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","34","46","34","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L297",".ctor","Edgar.Geometry.PolygonGrid2D.PolygonGrid2D(IEnumerable<Edgar.Geometry.Vector2Int>)void","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","41","3","49","4","0","0","0","0","0","0","0","5","5","0","0","7","9","1","0","0","0","4","4","1","0","5","7","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L305","CheckIntegrity","Edgar.Geometry.PolygonGrid2D.CheckIntegrity()void","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","51","9","88","4","0","0","0","0","0","0","0","3","0","0","0","28","38","12","0","0","0","0","19","0","0","3","28","38","19","0","0","1","0","0","1","0","1","0","0","0"
"L313","IsClockwiseOriented","Edgar.Geometry.PolygonGrid2D.IsClockwiseOriented(IList<Edgar.Geometry.Vector2Int>)bool","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","90","3","102","4","0","0","0","0","0","0","0","0","0","0","0","11","13","2","0","0","0","0","6","1","0","0","11","13","6","0","0","0","0","0","0","0","0","0","0","0"
"L311","GetBoundingRectabgle","Edgar.Geometry.PolygonGrid2D.GetBoundingRectabgle()Edgar.Geometry.RectangleGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","104","3","112","4","0","0","0","0","0","0","0","0","0","0","0","8","9","1","0","0","0","1","5","0","0","0","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L308","ComputeHash","Edgar.Geometry.PolygonGrid2D.ComputeHash()int","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","114","3","122","4","0","0","0","0","0","0","0","0","0","0","0","8","9","1","0","0","0","0","4","0","0","0","8","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L331","GetPoints","Edgar.Geometry.PolygonGrid2D.GetPoints()ReadOnlyCollection<Edgar.Geometry.Vector2Int>","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","128","3","131","4","0","0","0","0","0","0","0","4","4","0","0","4","4","1","0","0","0","0","1","0","0","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L337","GetLines","Edgar.Geometry.PolygonGrid2D.GetLines()List<Edgar.Geometry.OrthogonalLineGrid2D>","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","137","3","151","4","0","0","0","0","0","0","0","4","4","0","0","12","15","2","0","0","0","0","7","0","0","4","12","15","7","0","0","0","0","0","0","0","0","0","0","0"
"L342","Equals","Edgar.Geometry.PolygonGrid2D.Equals(object)bool","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","154","3","157","4","0","0","0","0","0","0","0","1","1","0","0","4","4","2","0","0","0","1","1","1","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L347","GetHashCode","Edgar.Geometry.PolygonGrid2D.GetHashCode()int","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","160","3","163","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L348","ToString","Edgar.Geometry.PolygonGrid2D.ToString()string","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","165","9","168","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L351","op_Addition","Edgar.Geometry.PolygonGrid2D.operator +(Edgar.Geometry.PolygonGrid2D, Edgar.Geometry.Vector2Int)Edgar.Geometry.PolygonGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","176","3","179","4","0","0","0","0","0","0","0","6","6","0","0","4","4","1","0","0","0","0","1","2","0","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L357","Scale","Edgar.Geometry.PolygonGrid2D.Scale(Edgar.Geometry.Vector2Int)Edgar.Geometry.PolygonGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","188","3","194","4","0","0","0","0","0","0","0","5","5","0","0","6","7","3","0","0","0","0","3","1","0","5","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L362","Rotate","Edgar.Geometry.PolygonGrid2D.Rotate(int)Edgar.Geometry.PolygonGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","201","3","210","4","0","0","0","0","0","0","0","5","5","0","0","9","10","2","0","0","0","1","4","1","0","5","9","10","4","0","0","0","0","0","0","0","0","0","0","0"
"L367","GetAllRotations","Edgar.Geometry.PolygonGrid2D.GetAllRotations()IEnumerable<Edgar.Geometry.PolygonGrid2D>","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","219","3","222","4","0","0","0","0","0","0","0","7","7","0","0","4","4","1","0","0","0","0","1","0","0","7","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L373","Transform","Edgar.Geometry.PolygonGrid2D.Transform(Edgar.Geometry.TransformationGrid2D)Edgar.Geometry.PolygonGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","235","3","250","4","0","0","0","0","0","0","0","12","11","0","0","13","16","5","0","0","0","0","5","1","0","12","13","16","5","0","0","0","0","0","1","0","0","0","0","0"
"L393","GetAllTransformations","Edgar.Geometry.PolygonGrid2D.GetAllTransformations()IEnumerable<Edgar.Geometry.PolygonGrid2D>","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","259","3","265","4","0","0","0","0","0","0","0","7","7","0","0","7","7","2","0","0","0","1","2","0","0","7","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L396","GetSquare","Edgar.Geometry.PolygonGrid2D.GetSquare(int)Edgar.Geometry.PolygonGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","276","3","279","4","0","0","0","0","0","0","0","5","5","0","0","4","4","1","0","0","0","1","1","1","0","5","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L399","GetRectangle","Edgar.Geometry.PolygonGrid2D.GetRectangle(int, int)Edgar.Geometry.PolygonGrid2D","L284","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","287","3","302","4","0","0","0","0","0","0","0","6","6","0","0","13","16","3","0","0","0","2","6","2","0","6","13","16","6","0","0","0","0","0","0","0","0","0","0","0"
"L407","AddPoint","Edgar.Geometry.PolygonGrid2DBuilder.AddPoint(int, int)Edgar.Geometry.PolygonGrid2DBuilder","L404","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2DBuilder.cs","18","3","22","4","0","0","0","0","0","0","0","6","6","0","0","5","5","1","0","0","0","1","2","2","0","6","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L409","Build","Edgar.Geometry.PolygonGrid2DBuilder.Build()Edgar.Geometry.PolygonGrid2D","L404","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2DBuilder.cs","28","3","31","4","0","0","0","0","0","0","0","4","4","0","0","4","4","1","0","0","0","0","1","0","0","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L327",".ctor","Edgar.Geometry.RectangleGrid2D.RectangleGrid2D(Edgar.Geometry.Vector2Int, Edgar.Geometry.Vector2Int)void","L292","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\RectangleGrid2D.cs","47","3","54","4","0","0","0","0","0","0","0","9","9","0","0","7","8","3","0","0","0","0","4","2","0","9","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L425","Rotate","Edgar.Geometry.RectangleGrid2D.Rotate(int)Edgar.Geometry.RectangleGrid2D","L292","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\RectangleGrid2D.cs","61","3","69","4","0","0","0","0","0","0","0","5","5","0","0","8","9","2","0","0","0","2","3","1","0","5","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
