"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L2702","templates","templates","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","19","1","53","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","35","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","27","35","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2706","templatesBlock","templatesBlock","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","56","1","153","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","98","0","7","0","0","0","0","7","14","0","14","7","14","0","0","0","0","0","14","0","14","7","0","15","14","0","0","68","98","0","7","0","7","14","0","14","7","14","14","0","14","7","14","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L2722","templatesBlockLocation","templatesBlockLocation","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","156","1","236","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","81","0","5","0","0","0","0","5","11","0","11","5","11","0","0","0","0","0","13","0","11","5","0","12","11","0","0","57","81","0","5","0","5","11","0","11","5","11","13","0","11","5","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2804","artoverlay","artoverlay","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","251","1","282","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","32","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","24","32","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2806","artoverlayLocation","artoverlayLocation","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","285","1","317","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2810","artoverlaySize","artoverlaySize","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","320","1","352","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2841","link","link","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","355","1","404","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","50","0","3","0","0","0","0","3","7","0","7","3","7","0","0","0","0","0","7","0","7","3","0","8","7","0","0","35","50","0","3","0","3","7","0","7","3","7","7","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2843","linkProperty","linkProperty","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","407","1","444","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","38","0","2","0","0","0","0","2","5","0","5","2","5","0","0","0","0","0","5","0","5","2","0","6","5","0","0","27","38","0","2","0","2","5","0","5","2","5","5","0","5","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2872","conditional","conditional","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","447","1","468","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","22","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","17","22","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2878","conditionalElse","conditionalElse","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","471","1","490","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","20","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","16","20","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2886","conditionalElseif","conditionalElseif","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","493","1","551","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","59","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","8","0","8","4","0","9","8","0","0","40","59","0","4","0","4","8","0","8","4","8","8","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2907","conditionalIF","conditionalIF","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","554","1","612","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","59","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","8","0","8","4","0","9","8","0","0","40","59","0","4","0","4","8","0","8","4","8","8","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2928","conditionalSwitch","conditionalSwitch","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","615","1","661","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","47","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","34","47","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2930","conditionalSwitchCase","conditionalSwitchCase","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","664","1","727","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","64","0","4","0","0","0","0","4","9","0","9","4","9","0","0","0","0","0","9","0","9","4","0","10","9","0","0","45","64","0","4","0","4","9","0","9","4","9","9","0","9","4","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2726","templatesBlockText","templatesBlockText","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","730","1","775","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","46","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","31","46","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2730","templatesBlockBorder","templatesBlockBorder","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","778","1","810","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2734","templatesBlockWordwrap","templatesBlockWordwrap","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","813","1","893","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","81","0","5","0","0","0","0","5","11","0","11","5","11","0","0","0","0","0","13","0","11","5","0","12","11","0","0","58","81","0","5","0","5","11","0","11","5","11","13","0","11","5","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2710","templatesTemplate","templatesTemplate","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","923","1","1005","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","83","0","5","0","0","0","0","5","11","0","11","5","11","0","0","0","0","0","11","0","11","5","0","12","11","0","0","59","83","0","5","0","5","11","0","11","5","11","11","0","11","5","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3030","templatesTemplateMatch","templatesTemplateMatch","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardGenerator.cs","1008","1","1040","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3068","options","options","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","19","1","39","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","21","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","17","21","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3071","optionsOption","optionsOption","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","42","1","80","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","39","0","2","0","0","0","0","2","5","0","5","2","5","0","0","0","0","0","5","0","5","2","0","6","5","0","0","28","39","0","2","0","2","5","0","5","2","5","5","0","5","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3092","pick","pick","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","83","1","140","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","58","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","8","0","8","4","0","9","8","0","0","39","58","0","4","0","4","8","0","8","4","8","8","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3094","pickProperty","pickProperty","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","143","1","175","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3126","text","text","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","178","1","196","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","19","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","14","19","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3132","underline","underline","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","199","1","234","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","36","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","26","36","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3143","bold","bold","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","237","1","272","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","36","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","26","36","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3154","color","color","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","275","1","324","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","50","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","35","50","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3170","italics","italics","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","327","1","362","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","36","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","26","36","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3181","symbol","symbol","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","365","1","396","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","32","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","22","32","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3192","property","property","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","399","1","461","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","63","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","8","0","8","4","0","9","8","0","0","43","63","0","4","0","4","8","0","8","4","8","8","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3213","include","include","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","464","1","508","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","45","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","31","45","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3215","includeProperty","includeProperty","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","511","1","543","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3242","set","set","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","546","1","730","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","185","0","13","0","0","0","0","13","27","0","27","13","27","0","0","0","0","0","27","0","27","13","0","28","27","0","0","123","185","0","13","0","13","27","0","27","13","27","27","0","27","13","27","0","0","8","0","0","0","0","0","0","0","1","0","7"
"L3244","setPack","setPack","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","733","1","780","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","48","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","33","48","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3248","setMarker","setMarker","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","783","1","815","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3252","setCard","setCard","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","818","1","889","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","72","0","5","0","0","0","0","5","10","0","10","5","10","0","0","0","0","0","10","0","10","5","0","11","10","0","0","49","72","0","5","0","5","10","0","10","5","10","10","0","10","5","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3350","setCardAlternate","setCardAlternate","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\CardSet.cs","892","1","950","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","59","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","8","0","8","4","0","9","8","0","0","40","59","0","4","0","4","8","0","8","4","8","8","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3396","game","game","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","19","1","521","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","343","503","0","36","0","0","0","0","36","73","0","73","36","73","0","0","0","0","0","78","0","73","36","0","74","73","0","0","343","503","0","36","0","36","73","0","73","36","73","78","0","73","36","73","0","0","17","0","0","1","0","0","0","1","1","0","15"
"L3399","gameScript","gameScript","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","524","1","543","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","20","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","15","20","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3640","counter","counter","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","546","1","610","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","65","0","4","0","0","0","0","4","9","0","9","4","9","0","0","0","0","0","10","0","9","4","0","10","9","0","0","45","65","0","4","0","4","9","0","9","4","9","10","0","9","4","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3663","baseAction","baseAction","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","625","1","678","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","54","0","3","0","0","0","0","3","6","0","6","3","6","0","3","9","0","0","6","0","6","3","0","7","6","0","0","39","54","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3679","actionSeparator","actionSeparator","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","681","1","688","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8","8","0","3","0","0","0","0","0","0","0","0","0","6","1","2","2","0","1","0","0","6","3","0","1","0","0","0","8","8","0","3","0","0","0","0","0","0","6","0","0","6","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3682","groupActionSeparator","groupActionSeparator","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","691","1","696","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","3","0","0","0","0","0","0","0","0","0","6","2","0","0","0","1","0","0","6","3","0","1","0","0","0","6","6","0","3","0","0","0","0","0","0","6","0","0","6","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3685","cardActionSeparator","cardActionSeparator","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","699","1","704","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","3","0","0","0","0","0","0","0","0","0","6","2","0","0","0","1","0","0","6","3","0","1","0","0","0","6","6","0","3","0","0","0","0","0","0","6","0","0","6","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3686","action","action","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","707","1","771","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","45","65","0","7","0","0","0","0","4","9","0","9","4","15","1","2","2","0","1","9","0","15","7","0","10","9","0","0","45","65","0","7","0","4","9","0","9","4","15","9","0","15","7","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3709","groupAction","groupAction","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","774","1","779","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","7","0","0","0","0","0","0","0","0","0","15","2","0","0","0","1","0","0","15","7","0","1","0","0","0","6","6","0","7","0","0","0","0","0","0","15","0","0","15","7","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3712","cardAction","cardAction","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","782","1","787","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","7","0","0","0","0","0","0","0","0","0","15","2","0","0","0","1","0","0","15","7","0","1","0","0","0","6","6","0","7","0","0","0","0","0","0","15","0","0","15","7","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3713","actionSubmenu","actionSubmenu","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","790","1","815","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","22","26","0","4","0","0","0","0","1","2","0","2","1","8","1","2","2","0","1","2","0","8","4","0","3","2","0","0","22","26","0","4","0","1","2","0","2","1","8","2","0","8","4","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3720","cardActionSubmenu","cardActionSubmenu","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","818","1","823","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","4","0","0","0","0","0","0","0","0","0","8","2","0","0","0","1","0","0","8","4","0","1","0","0","0","6","6","0","4","0","0","0","0","0","0","8","0","0","8","4","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3723","groupActionSubmenu","groupActionSubmenu","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","826","1","831","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","4","0","0","0","0","0","0","0","0","0","8","2","0","0","0","1","0","0","8","4","0","1","0","0","0","6","6","0","4","0","0","0","0","0","0","8","0","0","8","4","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3724","group","group","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","834","1","904","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","71","0","4","0","0","0","0","4","9","0","9","4","9","0","2","3","0","0","9","0","9","4","0","10","9","0","0","53","71","0","4","0","4","9","0","9","4","9","9","0","9","4","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3451","table","table","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","926","1","1014","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","59","89","0","10","0","0","0","0","6","13","0","13","6","22","1","0","0","0","1","13","0","22","10","0","14","13","0","0","59","89","0","10","0","6","13","0","13","6","22","13","0","22","10","13","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3798","pile","pile","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1036","1","1144","2","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","77","109","0","11","0","0","0","0","7","15","0","15","7","24","1","1","1","0","1","18","0","24","11","0","16","15","0","0","77","109","0","11","0","7","15","0","15","7","24","18","0","24","11","15","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3842","hand","hand","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1163","1","1168","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","11","0","0","0","0","0","0","0","0","0","24","2","0","0","0","1","0","0","24","11","0","1","0","0","0","6","6","0","11","0","0","0","0","0","0","24","0","0","24","11","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3845","gameBoardDef","gameBoardDef","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1171","1","1254","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","84","0","6","0","0","0","0","6","12","0","12","6","12","0","0","0","0","0","12","0","12","6","0","13","12","0","0","54","84","0","6","0","6","12","0","12","6","12","12","0","12","6","12","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3876","cardsizeDef","cardsizeDef","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1257","1","1390","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","134","0","9","0","0","0","0","9","19","0","19","9","19","0","0","0","0","0","22","0","19","9","0","20","19","0","0","88","134","0","9","0","9","19","0","19","9","19","22","0","19","9","19","0","0","6","0","0","0","0","0","0","0","1","0","5"
"L3923","propertyDef","propertyDef","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1393","1","1485","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","93","0","6","0","0","0","0","6","13","0","13","6","13","0","0","0","0","0","15","0","13","6","0","14","13","0","0","66","93","0","6","0","6","13","0","13","6","13","15","0","13","6","13","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3403","gameEvent","gameEvent","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1523","1","1555","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3407","gameSound","gameSound","L100","L1442","D:\DataCollection\repos\octgn_OCTGN\octgnFX\Octgn.Library\Schemas\Game.cs","1558","1","1590","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
