"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L183",".ctor","WFInfo.App.App()void","L178","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\App.xaml.cs","10","9","12","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L187","Application_Exit","WFInfo.App.Application_Exit(object, ExitEventArgs)void","L178","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\App.xaml.cs","14","9","21","10","0","0","0","0","0","0","0","0","0","0","0","8","8","2","0","0","0","2","3","2","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L230","get_ItemList","WFInfo.AutoAddViewModel.ItemList.getSystem.Collections.ObjectModel.ObservableCollection<WFInfo.AutoAddSingleItem>","L215","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","14","13","14","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","set_ItemList","WFInfo.AutoAddViewModel.ItemList.setvoid","L215","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","15","13","19","14","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L238",".ctor","WFInfo.AutoAddViewModel.AutoAddViewModel()void","L215","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","21","9","24","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L242","addItem","WFInfo.AutoAddViewModel.addItem(WFInfo.AutoAddSingleItem)void","L215","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","26","9","30","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L248","removeItem","WFInfo.AutoAddViewModel.removeItem(WFInfo.AutoAddSingleItem)void","L215","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","32","9","36","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L263","get_RewardOptions","WFInfo.AutoAddSingleItem.RewardOptions.getSystem.Collections.ObjectModel.ObservableCollection<string>","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","47","13","47","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","set_RewardOptions","WFInfo.AutoAddSingleItem.RewardOptions.setvoid","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","48","13","52","14","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L270","get_ActiveOption","WFInfo.AutoAddSingleItem.ActiveOption.getstring","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","58","13","58","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","set_ActiveOption","WFInfo.AutoAddSingleItem.ActiveOption.setvoid","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","59","13","63","14","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L276","get_Increment","WFInfo.AutoAddSingleItem.Increment.getWFInfo.SimpleCommand","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","66","42","66","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L282","get_Remove","WFInfo.AutoAddSingleItem.Remove.getWFInfo.SimpleCommand","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","68","39","68","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L285",".ctor","WFInfo.AutoAddSingleItem.AutoAddSingleItem(System.Collections.Generic.List<string>, int, WFInfo.AutoAddViewModel)void","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","70","9","85","10","0","0","0","0","0","0","0","0","0","0","0","15","16","3","0","0","0","6","8","3","0","0","15","16","8","0","0","0","0","0","0","0","0","0","0","0"
"L335","AddCount","WFInfo.AutoAddSingleItem.AddCount(bool)void","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","87","9","127","10","0","0","0","0","0","0","0","3","0","0","0","33","41","7","0","0","0","7","19","1","0","3","33","41","19","0","0","0","0","0","0","0","0","0","0","0"
"L329","RemoveFromParent","WFInfo.AutoAddSingleItem.RemoveFromParent()void","L225","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","129","9","136","10","0","0","0","0","0","0","0","0","0","0","0","8","8","2","0","0","0","2","3","0","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L421","get_viewModel","WFInfo.AutoCount.viewModel.getWFInfo.AutoAddViewModel","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","28","45","28","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L424","get_IncrementAll","WFInfo.AutoCount.IncrementAll.getWFInfo.SimpleCommand","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","29","45","29","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L427","get_RemoveAll","WFInfo.AutoCount.RemoveAll.getWFInfo.SimpleCommand","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","30","42","30","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L430",".ctor","WFInfo.AutoCount.AutoCount()void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","32","9","52","10","0","0","0","0","0","0","0","11","0","0","0","8","21","1","0","0","0","5","5","0","0","11","8","21","5","0","0","0","0","0","0","0","0","0","0","0"
"L442","ShowAutoCount","WFInfo.AutoCount.ShowAutoCount()void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","53","9","60","10","0","0","0","0","0","0","0","0","0","0","0","8","8","2","0","0","0","0","3","0","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L443","Hide","WFInfo.AutoCount.Hide(object, RoutedEventArgs)void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","62","9","65","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L440","AddCountAll","WFInfo.AutoCount.AddCountAll()void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","67","9","83","10","0","0","0","0","0","0","0","0","0","0","0","16","17","4","0","0","0","5","7","0","0","0","16","17","7","0","0","0","0","0","0","0","0","0","0","0"
"L436","RemoveFromParentAll","WFInfo.AutoCount.RemoveFromParentAll()void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","85","9","99","10","0","0","0","0","0","0","0","0","0","0","0","14","15","4","0","0","0","4","5","0","0","0","14","15","5","0","0","0","0","0","0","0","0","0","0","0"
"L459","MouseDown","WFInfo.AutoCount.MouseDown(object, MouseButtonEventArgs)void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","102","9","106","10","0","0","0","0","0","0","0","1","1","0","0","5","5","2","0","0","0","0","2","2","0","1","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L466","RedirectScrollToParent","WFInfo.AutoCount.RedirectScrollToParent(object, MouseWheelEventArgs)void","L413","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","108","9","119","10","0","0","0","0","0","0","0","0","0","0","0","12","12","2","0","0","0","0","7","2","0","0","12","12","7","0","0","0","0","0","0","0","0","0","0","0"
"L712","cleanLegacyTesseractIfNeeded","WFInfo.CustomEntrypoint.cleanLegacyTesseractIfNeeded()void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","56","9","78","10","0","0","0","0","0","0","0","0","0","0","0","23","23","3","0","0","0","0","8","0","0","0","23","23","8","0","0","0","0","0","0","0","0","0","0","0"
"L736","Main","WFInfo.CustomEntrypoint.Main()void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","80","9","171","10","0","0","0","0","0","0","0","4","0","0","0","79","70","10","0","0","0","4","38","0","0","4","79","92","38","0","0","1","0","0","1","0","0","0","0","1"
"L866","MyHandler","WFInfo.CustomEntrypoint.MyHandler(object, System.UnhandledExceptionEventArgs)void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","173","9","182","10","0","0","0","0","0","0","0","0","0","0","0","9","10","1","0","0","0","1","6","2","0","0","9","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L874","AddLog","WFInfo.CustomEntrypoint.AddLog(string)void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","184","9","190","10","0","0","0","0","0","0","0","1","0","0","0","7","7","1","0","0","0","0","4","1","0","1","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L889","createNewWebClient","WFInfo.CustomEntrypoint.createNewWebClient()System.Net.WebClient","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","192","9","203","10","0","0","0","0","0","0","0","0","0","0","0","12","12","2","0","0","0","0","7","0","0","0","12","12","7","0","0","0","0","0","0","0","0","0","0","0"
"L803","CollectDebugInfo","WFInfo.CustomEntrypoint.CollectDebugInfo()void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","205","9","282","10","0","0","0","0","0","0","0","7","0","0","0","66","78","11","0","0","0","1","26","0","0","7","66","78","26","0","0","2","0","0","1","0","1","0","0","1"
"L827","GetMD5hash","WFInfo.CustomEntrypoint.GetMD5hash(string)string","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","284","9","294","10","0","0","0","0","0","0","0","0","0","0","0","11","11","1","0","0","0","0","4","1","0","0","11","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L987","GetMD5hashByURL","WFInfo.CustomEntrypoint.GetMD5hashByURL(string)string","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","295","9","305","10","0","0","0","0","0","0","0","0","0","0","0","11","11","1","0","0","0","1","6","1","0","0","11","11","6","0","0","0","0","0","0","0","0","0","0","0"
"L996","DownloadProgressCallback","WFInfo.CustomEntrypoint.DownloadProgressCallback(object, System.Net.DownloadProgressChangedEventArgs)void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","307","9","311","10","0","0","0","0","0","0","0","1","0","0","0","4","5","1","0","0","0","0","1","2","0","1","4","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L841","RefreshTesseractDlls","WFInfo.CustomEntrypoint.RefreshTesseractDlls(System.Threading.CancellationToken)void","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","313","9","377","10","0","0","0","0","0","0","0","0","0","0","0","61","63","14","0","0","0","2","32","1","0","0","61","65","32","0","0","1","0","0","1","0","1","0","0","0"
"L1044","CurrentDomain_AssemblyResolve_Tesseract","WFInfo.CustomEntrypoint.CurrentDomain_AssemblyResolve_Tesseract(object, System.ResolveEventArgs)System.Reflection.Assembly","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","379","9","392","10","0","0","0","0","0","0","0","0","0","0","0","11","14","3","0","0","0","0","8","2","0","0","11","14","8","0","0","0","0","0","0","0","0","0","0","0"
"L956","CheckFor45DotVersion","WFInfo.CustomEntrypoint.CheckFor45DotVersion(int)string","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","399","9","436","10","0","0","0","0","0","0","0","6","4","0","0","36","38","12","0","0","0","0","23","1","0","6","36","38","23","0","0","1","0","0","1","0","1","0","0","0"
"L1073","OnResolveAssembly","WFInfo.CustomEntrypoint.OnResolveAssembly(object, System.ResolveEventArgs)System.Reflection.Assembly","L691","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","438","9","456","10","0","0","0","0","0","0","0","0","0","0","0","16","19","3","0","0","0","0","11","2","0","0","16","19","11","0","0","0","0","0","0","0","0","0","0","0"
"L1164","createWfmClient","WFInfo.Data.createWfmClient()System.Net.WebClient","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","75","9","81","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","1","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L1165",".ctor","WFInfo.Data.Data(WFInfo.Settings.IReadOnlyApplicationSettings, WFInfo.Services.WarframeProcess.IProcessFinder, WFInfo.Services.WindowInfo.IWindowInfoService)void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","83","9","113","10","0","0","0","0","0","0","0","1","0","0","0","26","31","2","0","0","0","1","18","3","0","1","26","31","18","0","0","0","0","0","0","0","0","0","0","0"
"L1200","EnableLogCapture","WFInfo.Data.EnableLogCapture()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","115","9","130","10","0","0","0","0","0","0","0","0","0","0","0","16","16","3","0","0","0","3","6","0","0","0","16","16","6","0","0","0","0","0","0","0","0","0","0","0"
"L1212","DisableLogCapture","WFInfo.Data.DisableLogCapture()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","132","9","140","10","0","0","0","0","0","0","0","0","0","0","0","9","9","2","0","0","0","1","4","0","0","0","9","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L1218","SaveDatabase","WFInfo.Data.SaveDatabase(string, object)void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","142","9","145","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1221","IsJwtLoggedIn","WFInfo.Data.IsJwtLoggedIn()bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","147","9","150","10","0","0","0","0","0","0","0","1","0","0","0","4","4","2","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1223","GetGithubVersion","WFInfo.Data.GetGithubVersion()int","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","152","9","164","10","0","0","0","0","0","0","0","0","0","0","0","13","13","3","0","0","0","3","6","0","0","0","13","13","6","0","0","0","0","0","0","0","0","0","0","0"
"L1232","ReloadItems","WFInfo.Data.ReloadItems()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","167","9","228","10","0","0","0","0","0","0","0","1","1","0","0","56","62","12","0","0","0","4","32","0","0","1","56","62","32","0","0","1","0","0","1","0","1","0","0","0"
"L1304","LoadMarket","WFInfo.Data.LoadMarket(JObject, bool)bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","231","9","285","10","0","0","0","0","0","0","0","2","1","0","0","48","55","17","0","0","0","4","26","2","0","2","48","55","26","0","0","1","0","0","1","0","1","0","0","0"
"L1336","LoadMarketItem","WFInfo.Data.LoadMarketItem(string, string)void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","287","9","333","10","0","0","0","0","0","0","0","0","0","0","0","44","47","3","0","0","0","2","19","2","0","0","44","47","19","0","0","0","0","0","0","0","0","0","0","0"
"L1349","LoadEqmtData","WFInfo.Data.LoadEqmtData(JObject, bool)bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","335","9","418","10","0","0","0","0","0","0","0","4","0","0","0","68","84","29","0","0","0","1","49","2","0","4","68","84","49","0","0","2","0","0","1","0","1","0","0","1"
"L1364","RefreshMarketDucats","WFInfo.Data.RefreshMarketDucats()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","420","9","428","10","0","0","0","0","0","0","0","1","0","0","0","8","9","5","0","0","0","0","5","0","0","1","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L1365","Update","WFInfo.Data.Update()bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","430","9","469","10","0","0","0","0","0","0","0","0","0","0","0","33","40","7","0","0","0","6","22","0","0","0","33","40","22","0","0","0","0","0","0","0","0","0","0","0"
"L1374","ForceMarketUpdate","WFInfo.Data.ForceMarketUpdate()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","471","9","516","10","0","0","0","0","0","0","0","0","0","0","0","43","39","6","0","0","0","7","20","0","0","0","43","46","20","0","0","0","0","0","0","0","0","0","0","0"
"L403","SaveAllJSONs","WFInfo.Data.SaveAllJSONs()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","518","9","525","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","0","5","0","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L1385","ForceEquipmentUpdate","WFInfo.Data.ForceEquipmentUpdate()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","527","9","555","10","0","0","0","0","0","0","0","0","0","0","0","28","21","2","0","0","0","6","11","0","0","0","28","29","11","0","0","0","0","0","0","0","0","0","0","0"
"L1388","IsPartVaulted","WFInfo.Data.IsPartVaulted(string)bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","557","9","563","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L1390","IsPartMastered","WFInfo.Data.IsPartMastered(string)bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","565","9","571","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L1392","PartsOwned","WFInfo.Data.PartsOwned(string)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","573","9","582","10","0","0","0","0","0","0","0","0","0","0","0","10","10","3","0","0","0","0","7","1","0","0","10","10","7","0","0","0","0","0","0","0","0","0","0","0"
"L1394","PartsCount","WFInfo.Data.PartsCount(string)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","584","9","593","10","0","0","0","0","0","0","0","0","0","0","0","10","10","3","0","0","0","0","7","1","0","0","10","10","7","0","0","0","0","0","0","0","0","0","0","0"
"L1396","AddElement","WFInfo.Data.AddElement(int[*,*], System.Collections.Generic.List<int>, System.Collections.Generic.List<int>, int, int)void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","595","9","613","10","0","0","0","0","0","0","0","0","0","0","0","17","19","4","0","0","0","0","10","5","0","0","17","19","10","0","0","0","0","0","0","0","0","0","0","0"
"L1418","GetDifference","WFInfo.Data.GetDifference(char, char)int","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","617","9","634","10","0","0","0","0","0","0","0","0","0","0","0","16","18","9","0","0","0","0","6","2","0","0","16","18","6","0","0","0","0","0","0","0","0","0","0","0"
"L1425","LevenshteinDistance","WFInfo.Data.LevenshteinDistance(string, string)int","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","636","9","646","10","0","0","0","0","0","0","0","1","0","0","0","10","11","2","0","0","0","3","3","2","0","1","10","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L1430","LevenshteinDistanceDefault","WFInfo.Data.LevenshteinDistanceDefault(string, string)int","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","648","9","695","10","0","0","0","0","0","0","0","6","0","0","0","32","48","12","0","0","0","0","27","2","0","6","32","48","27","0","0","1","0","0","1","0","1","0","0","0"
"L1444","isKorean","WFInfo.Data.isKorean(string)bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","697","9","704","10","0","0","0","0","0","0","0","0","0","0","0","8","8","7","0","0","0","0","8","1","0","0","8","8","8","0","0","0","0","0","0","0","0","0","0","0"
"L1446","getLocaleNameData","WFInfo.Data.getLocaleNameData(string)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","705","9","730","10","0","0","0","0","0","0","0","0","0","0","0","26","26","6","0","0","0","1","14","1","0","0","26","26","14","0","0","0","0","0","0","0","0","0","0","0"
"L1428","LevenshteinDistanceKorean","WFInfo.Data.LevenshteinDistanceKorean(string, string)int","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","733","9","804","10","0","0","0","0","0","0","0","2","0","0","0","58","72","13","0","0","0","2","39","2","0","2","58","72","39","0","0","1","0","0","1","0","1","0","0","0"
"L1457","GroupEquals","WFInfo.Data.GroupEquals(System.Collections.Generic.Dictionary<int, System.Collections.Generic.List<int>>, int, int)bool","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","806","9","816","10","0","0","0","0","0","0","0","0","0","0","0","11","11","4","0","0","0","0","4","3","0","0","11","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L1468","LevenshteinDistanceSecond","WFInfo.Data.LevenshteinDistanceSecond(string, string, int)int","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","818","9","890","10","0","0","0","0","0","0","0","0","0","0","0","67","73","17","0","0","0","2","43","3","0","0","67","73","43","0","0","2","0","0","1","0","1","0","0","1"
"L1479","GetPartName","WFInfo.Data.GetPartName(string, out int, bool, out bool)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","896","9","927","10","0","0","0","0","0","0","0","5","3","0","0","30","32","8","0","0","0","2","19","4","0","5","30","32","19","0","0","0","0","0","0","0","0","0","0","0"
"L1489","GetPartNameHuman","WFInfo.Data.GetPartNameHuman(string, out int)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","929","9","963","10","0","0","0","0","0","0","0","1","0","0","0","34","35","7","0","0","0","1","19","2","0","1","34","35","19","0","0","0","0","0","0","0","0","0","0","0"
"L1492","GetSetName","WFInfo.Data.GetSetName(string)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","965","9","1002","10","0","0","0","0","0","0","0","0","0","0","0","36","38","2","0","0","0","0","31","1","0","0","36","38","31","0","0","0","0","0","0","0","0","0","0","0"
"L1505","GetRelicName","WFInfo.Data.GetRelicName(string)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1004","9","1038","10","0","0","0","0","0","0","0","0","0","0","0","32","35","6","0","0","0","1","19","1","0","0","32","35","19","0","0","0","0","0","0","0","0","0","0","0"
"L1508","LogChanged","WFInfo.Data.LogChanged(object, string)void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1040","9","1167","10","0","0","0","0","0","0","0","1","0","0","0","110","26","13","0","0","0","4","13","2","0","1","110","128","13","0","0","3","0","0","2","0","1","0","0","2"
"L1609","AutoTriggered","WFInfo.Data.AutoTriggered()void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1169","9","1211","10","0","0","0","0","0","0","0","0","0","0","0","41","41","8","0","0","0","9","28","0","0","0","41","43","28","0","0","0","0","0","0","0","0","0","0","0"
"L1665","GetUserLogin","WFInfo.Data.GetUserLogin(string, string)System.Threading.Tasks.Task","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1220","9","1251","10","0","0","0","0","0","0","0","7","7","0","0","32","32","2","0","0","0","3","20","2","0","7","32","32","20","0","0","0","0","0","0","0","0","0","0","0"
"L1703","OpenWebSocket","WFInfo.Data.OpenWebSocket()System.Threading.Tasks.Task<bool>","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1258","9","1308","10","0","0","0","0","0","0","0","4","4","0","0","44","31","3","0","0","0","1","12","0","0","4","44","51","12","0","0","0","0","0","0","0","0","0","0","0"
"L1701","SetJWT","WFInfo.Data.SetJWT(System.Net.Http.Headers.HttpResponseHeaders)void","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1315","9","1324","10","0","0","0","0","0","0","0","4","4","0","0","10","10","3","0","0","0","0","6","1","0","4","10","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L1749","ListItem","WFInfo.Data.ListItem(string, int, int)System.Threading.Tasks.Task<bool>","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1333","9","1366","10","0","0","0","0","0","0","0","7","7","0","0","31","34","3","0","0","0","3","18","3","0","7","31","34","18","0","0","0","0","0","0","0","0","0","0","0"
"L1756","UpdateListing","WFInfo.Data.UpdateListing(string, int, int)System.Threading.Tasks.Task<bool>","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1375","9","1408","10","0","0","0","0","0","0","0","7","7","0","0","31","34","3","0","0","0","2","18","3","0","7","31","34","18","0","0","0","0","0","0","0","0","0","0","0"
"L1754","PrimeItemToItemID","WFInfo.Data.PrimeItemToItemID(string)string","L1108","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","1415","9","1425","10","0","0","0","0","0","0","0","5","5","0","0","11","11","3","0","0","0","0","4","1","0","5","11","11","4","0","0","0","0","0","0","0","0","0","0","0"
