"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L178","App","WFInfo.App","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\App.xaml.cs","8","5","22","6","0.5","2","0","0","0","0","0","0","0","0","3","0","3","1","0","0","14","15","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","2","0","3","0","1","0","1","1","4","0","3","14","15","0","0","0","0","2","0","1","0","2","3","0","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L215","AutoAddViewModel","WFInfo.AutoAddViewModel","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","8","5","37","6","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","25","30","0","1","0","0","0","0","1","5","0","4","1","7","1","0","0","1","1","7","0","4","1","0","5","6","0","0","25","30","0","1","0","1","5","0","4","1","7","7","0","4","1","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L225","AutoAddSingleItem","WFInfo.AutoAddSingleItem","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoAddViewModel.cs","39","5","137","6","0","6","0","0","0","0","0","0","0","0","3","1","0","1","0","0","76","99","0","4","0","0","0","0","4","9","0","7","2","11","1","0","0","8","1","34","0","7","2","0","8","17","0","3","76","99","0","4","0","4","9","0","7","2","11","34","0","7","2","18","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L413","AutoCount","WFInfo.AutoCount","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\AutoCount.xaml.cs","21","5","120","6","0.166667","6","0","0","0","0","0","0","0","0","15","0","4","4","0","0","74","100","0","3","0","0","0","0","3","10","0","5","0","10","0","0","0","8","0","30","0","5","0","1","5","18","0","15","74","100","0","3","0","3","10","0","5","0","10","30","0","5","0","19","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L691","CustomEntrypoint","WFInfo.CustomEntrypoint","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\CustomEntrypoint.cs","20","5","457","6","0","2","0","0","0","0","0","0","0","0","19","0","4","2","0","0","377","414","0","0","0","0","0","0","0","13","0","7","0","13","0","0","0","1","0","174","0","7","0","0","8","14","0","19","377","438","0","0","0","0","13","0","7","0","13","174","0","7","0","63","0","0","7","0","0","4","0","1","3","0","1","0","2"
"L1108","Data","WFInfo.Data","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Data.cs","24","5","1718","6","0.348837","11","0","0","0","0","0","0","0","0","109","0","84","5","0","0","1411","1556","0","1","0","0","0","0","1","51","0","42","0","51","0","0","0","19","0","722","0","42","0","15","28","70","0","109","1411","1695","0","1","0","1","51","0","42","0","51","722","0","42","0","277","0","0","23","0","0","10","0","1","8","1","1","0","12"
"L405","EquipmentWindow","WFInfo.EquipmentWindow","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\EquipmentWindow.cs","14","5","371","6","0.2","3","0","0","0","0","0","0","0","0","8","0","7","4","0","0","313","354","0","0","0","0","0","0","0","18","0","4","0","18","0","0","0","15","0","169","0","4","0","1","4","33","0","8","313","358","0","0","0","0","18","0","4","0","18","169","0","4","0","85","0","0","7","0","0","3","0","1","3","1","1","0","1"
"L1378","ErrorDialogue","WFInfo.ErrorDialogue","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\errorDialogue.xaml.cs","15","5","119","6","0.333333","1","0","0.41129","1","8","0","2","0.380952","0.413793","5","0","4","3","40","36","88","105","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","2","0","41","0","2","0","1","2","6","0","5","88","105","0","0","0","0","4","0","2","0","4","41","0","2","0","13","0","0","14","0","0","0","12","1","0","0","1","0","0"
"L2045","FocusAdvancement","WFInfo.FocusAdvancement","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\FocusAdvancement.cs","7","5","45","6","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","30","39","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","0","0","12","0","2","0","0","3","4","0","1","30","39","0","0","0","0","4","0","2","0","4","12","0","2","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2063","FullscreenReminder","WFInfo.FullscreenReminder","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\fullscreenReminder.xaml.cs","6","5","39","6","0","2","0","0","0","0","0","0","0","0","1","0","1","3","0","0","29","34","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","2","0","14","0","1","0","0","2","6","0","1","29","34","0","0","0","0","4","0","1","0","4","14","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2078","GFNWarning","WFInfo.GFNWarning","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\GFNWarning.xaml.cs","16","5","38","6","0.5","0","0","0","0","0","0","0","0","0","4","0","4","2","0","0","18","23","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","6","0","1","0","1","1","3","0","4","18","23","0","0","0","0","3","0","1","0","3","6","0","1","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L704","InitialDialogue","WFInfo.InitialDialogue","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\InitialDialogue.xaml.cs","10","5","48","6","0.5","1","0","0","0","0","0","0","0","0","4","0","4","3","0","0","33","39","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","0","0","10","0","1","0","1","1","6","0","4","33","39","0","0","0","0","6","0","1","0","6","10","0","1","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2107","ListingHelper","WFInfo.ListingHelper","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\ListingHelper.xaml.cs","18","5","411","6","0.461538","5","0","0","0","0","0","0","0","0","61","0","51","7","0","0","300","391","0","3","0","0","0","0","3","25","0","12","3","25","0","0","0","15","0","174","0","12","3","6","7","40","0","61","300","394","0","3","0","3","25","0","12","3","25","174","0","12","3","56","0","0","4","0","0","0","0","1","0","1","1","0","1"
"L1565","RewardCollection","WFInfo.RewardCollection","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\ListingHelper.xaml.cs","417","5","451","6","0.363636","0","0","0","0","0","0","0","0","0","9","0","9","1","0","0","27","35","0","4","0","0","0","0","4","10","0","10","4","10","0","0","0","0","0","12","0","10","4","4","7","10","0","9","27","35","0","4","0","4","10","0","10","4","10","12","0","10","4","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2239","MarketListing","WFInfo.MarketListing","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\ListingHelper.xaml.cs","455","5","476","6","0.222222","0","0","0","0","0","0","0","0","0","7","0","7","1","0","0","16","22","0","3","0","0","0","0","3","8","0","8","3","8","0","0","0","0","0","4","0","8","3","2","7","8","0","7","16","22","0","3","0","3","8","0","8","3","8","4","0","8","3","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1148","LogCapture","WFInfo.LogCapture","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\LogCapture.cs","14","5","139","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","103","122","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","6","0","52","0","2","0","0","3","10","0","0","104","126","0","0","0","0","4","0","2","0","4","52","0","2","0","19","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L2528","Login","WFInfo.Login","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Login.xaml.cs","14","5","154","6","0.666667","4","0","0","0","0","0","0","0","0","39","0","28","5","0","0","103","141","0","0","0","0","0","0","0","6","0","2","0","6","0","0","0","6","0","54","0","2","0","2","1","12","0","39","103","141","0","0","0","0","6","0","2","0","6","54","0","2","0","17","0","0","3","0","0","2","0","1","0","0","1","0","1"
"L2563","LowLevelListener","WFInfo.LowLevelListener","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\LowLevelListener.cs","10","5","177","6","0","7","0","0","0","0","0","0","0","0","2","0","0","3","0","0","127","146","0","0","0","0","0","0","0","15","0","4","0","15","0","0","0","2","0","38","0","4","0","0","5","17","0","2","144","168","0","0","0","0","17","0","6","0","17","38","0","6","0","29","0","0","4","0","0","1","0","1","0","0","3","0","0"
"L371","Main","WFInfo.Main","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Main.cs","26","5","568","6","0.15","34","0","0","0","0","0","0","0","0","37","0","7","8","0","0","444","475","0","5","0","0","0","0","5","30","0","19","3","30","0","0","0","41","0","178","0","19","3","3","17","71","0","37","449","543","0","5","0","5","30","0","19","3","30","178","0","19","3","89","0","0","12","0","0","3","0","1","3","5","1","0","2"
"L2191","Status","WFInfo.Status","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\Main.cs","570","5","580","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","11","0","2","0","0","0","0","2","5","0","5","2","5","0","0","0","0","0","2","0","5","2","0","6","5","0","0","10","11","0","2","0","2","5","0","5","2","5","2","0","5","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L204","MainWindow","WFInfo.MainWindow","L104","L103","D:\DataCollection\repos\WFCD_WFinfo\WFInfo\MainWindow.xaml.cs","23","5","422","6","0.3","14","0","0","0","0","0","0","0","0","38","0","23","15","0","0","334","386","0","0","0","0","0","0","0","26","0","9","0","26","0","0","0","25","0","175","0","9","0","3","7","51","0","38","334","400","0","0","0","0","26","0","9","0","26","175","0","9","0","65","0","0","4","0","0","0","0","1","0","1","1","0","1"
