"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L158",".ctor","WechatHistory.MessageSearchResultsForm.MessageSearchResultsForm(WechatHistory.MainForm)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","16","9","20","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L166","MessageSearchResultsForm_FormClosing","WechatHistory.MessageSearchResultsForm.MessageSearchResultsForm_FormClosing(object, System.Windows.Forms.FormClosingEventArgs)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","22","9","26","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L185","MessageSearchResultsForm_Shown","WechatHistory.MessageSearchResultsForm.MessageSearchResultsForm_Shown(object, System.EventArgs)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","28","9","31","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L218","listView_ItemSelectionChanged","WechatHistory.MessageSearchResultsForm.listView_ItemSelectionChanged(object, System.Windows.Forms.ListViewItemSelectionChangedEventArgs)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","33","9","47","10","0","0","0","0","0","0","0","1","0","0","0","14","15","3","0","0","0","1","8","2","0","1","14","15","8","0","0","0","0","0","0","0","0","0","0","0"
"L281","MessageSearchResultsForm_Resize","WechatHistory.MessageSearchResultsForm.MessageSearchResultsForm_Resize(object, System.EventArgs)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","49","9","54","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L287","MessageSearchResultsForm_Activated","WechatHistory.MessageSearchResultsForm.MessageSearchResultsForm_Activated(object, System.EventArgs)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","56","9","59","10","0","0","0","0","0","0","0","1","0","0","0","3","4","1","0","0","0","0","0","2","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L290","MessageSearchResultsForm_Deactivate","WechatHistory.MessageSearchResultsForm.MessageSearchResultsForm_Deactivate(object, System.EventArgs)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","61","9","64","10","0","0","0","0","0","0","0","1","0","0","0","3","4","1","0","0","0","0","0","2","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L297","Dispose","WechatHistory.MessageSearchResultsForm.Dispose(bool)void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L163","InitializeComponent","WechatHistory.MessageSearchResultsForm.InitializeComponent()void","L126","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.Designer.cs","29","9","68","10","0.748219","1","1","0","1","0.7","0.666667","10","4","28","22","33","40","1","0","0","0","0","30","0","0","10","33","40","30","0","0","7","0","0","0","7","0","0","0","0"
"L477",".ctor","WechatHistory.FriendSearchResultsForm.FriendSearchResultsForm()void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","14","9","17","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L480","FriendSearchResultsForm_FormClosing","WechatHistory.FriendSearchResultsForm.FriendSearchResultsForm_FormClosing(object, System.Windows.Forms.FormClosingEventArgs)void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","19","9","23","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L483","FriendSearchResultsForm_Shown","WechatHistory.FriendSearchResultsForm.FriendSearchResultsForm_Shown(object, System.EventArgs)void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","25","9","28","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L488","listView_ItemSelectionChanged","WechatHistory.FriendSearchResultsForm.listView_ItemSelectionChanged(object, System.Windows.Forms.ListViewItemSelectionChangedEventArgs)void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","30","9","39","10","0","0","0","0","0","0","0","0","0","0","0","10","10","2","0","0","0","1","5","2","0","0","10","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L505","FriendSearchResultsForm_Activated","WechatHistory.FriendSearchResultsForm.FriendSearchResultsForm_Activated(object, System.EventArgs)void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","41","9","44","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L508","FriendSearchResultsForm_Deactivate","WechatHistory.FriendSearchResultsForm.FriendSearchResultsForm_Deactivate(object, System.EventArgs)void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","46","9","49","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L512","Dispose","WechatHistory.FriendSearchResultsForm.Dispose(bool)void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L478","InitializeComponent","WechatHistory.FriendSearchResultsForm.InitializeComponent()void","L476","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.Designer.cs","29","9","69","10","0.75179","1","1","0","1","0.682927","0.647059","10","4","28","22","34","41","1","0","0","0","0","31","0","0","10","34","41","31","0","0","7","0","0","0","7","0","0","0","0"
"L518","GetChineseSpellCode","WechatHistory.SpellCodeHelper.GetChineseSpellCode(string)string","L517","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Hz2Py.cs","11","9","136","10","0","0","0","0","0","0","0","5","0","0","0","120","126","49","0","0","0","0","61","1","0","5","120","126","61","0","0","4","0","0","1","0","1","0","0","3"
"L572","GetFirstPYLetter","WechatHistory.SpellCodeHelper.GetFirstPYLetter(string)string","L517","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Hz2Py.cs","217","9","301","10","0","0","0","0","0","0","0","7","4","0","0","85","85","29","0","0","0","0","58","1","0","7","85","85","58","0","0","2","0","0","1","0","1","0","0","1"
"L601","GetAllPYLetters","WechatHistory.SpellCodeHelper.GetAllPYLetters(string)string","L517","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Hz2Py.cs","308","9","373","10","0","0","0","0","0","0","0","11","5","0","0","62","66","10","0","0","0","0","35","1","0","11","62","66","35","0","0","0","0","0","1","0","0","0","0","0"
"L646",".ctor","WechatHistory.Jump2PageForm.Jump2PageForm()void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","17","9","20","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L649","btnOK_Click","WechatHistory.Jump2PageForm.btnOK_Click(object, System.EventArgs)void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","22","9","26","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L667","textBox_TextChanged","WechatHistory.Jump2PageForm.textBox_TextChanged(object, System.EventArgs)void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","28","9","51","10","0","0","0","0","0","0","0","0","0","0","0","24","24","8","0","0","0","0","13","2","0","0","24","24","13","0","0","0","0","0","0","0","0","0","0","0"
"L676","Jump2PageForm_Shown","WechatHistory.Jump2PageForm.Jump2PageForm_Shown(object, System.EventArgs)void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","53","9","56","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L679","btnCancel_Click","WechatHistory.Jump2PageForm.btnCancel_Click(object, System.EventArgs)void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","58","9","61","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L682","textBox_KeyDown","WechatHistory.Jump2PageForm.textBox_KeyDown(object, System.Windows.Forms.KeyEventArgs)void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","63","9","69","10","0","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","2","4","2","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L707","Dispose","WechatHistory.Jump2PageForm.Dispose(bool)void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L647","InitializeComponent","WechatHistory.Jump2PageForm.InitializeComponent()void","L643","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.Designer.cs","29","9","93","10","0","0","0","0","0","0","0","19","4","0","0","49","65","1","0","0","0","0","46","0","0","19","49","65","46","0","0","0","0","0","0","0","0","0","0","0"
"L803",".ctor","WechatHistory.MainForm.MainForm()void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","786","9","790","10","0","0","0","0","0","0","0","4","4","0","0","5","5","1","0","0","0","1","2","0","0","4","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L809","MainForm_Resize","WechatHistory.MainForm.MainForm_Resize(object, System.EventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","792","9","796","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L816","MainForm_Shown","WechatHistory.MainForm.MainForm_Shown(object, System.EventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","798","9","807","10","0","0","0","0","0","0","0","0","0","0","0","10","10","1","0","0","0","2","7","2","0","0","10","10","7","0","0","0","0","0","0","0","0","0","0","0"
"L842","GetPinyinFromString","WechatHistory.MainForm.GetPinyinFromString(string, out string)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","814","9","847","10","0","0","0","0","0","0","0","6","5","0","0","34","34","8","0","0","0","0","20","2","0","6","34","34","20","0","0","0","0","0","0","0","0","0","0","0"
"L854","MainForm_Load","WechatHistory.MainForm.MainForm_Load(object, System.EventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","854","9","1064","10","0","0","0","0","0","0","0","49","5","0","0","155","211","33","0","0","0","6","119","2","0","49","155","211","119","0","0","6","0","0","1","0","1","0","0","5"
"L1071","GetTempFileName","WechatHistory.MainForm.GetTempFileName()string","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1070","9","1086","10","0","0","0","0","0","0","0","2","2","0","0","17","17","2","0","0","0","0","9","0","0","2","17","17","9","0","0","0","0","0","0","0","0","0","0","0"
"L1054","ReleaseEmoji","WechatHistory.MainForm.ReleaseEmoji()void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1091","9","1103","10","0","0","0","0","0","0","0","3","2","0","0","12","13","2","0","0","0","2","9","0","0","3","12","13","9","0","0","0","0","0","0","0","0","0","0","0"
"L1057","StreamToFile","WechatHistory.MainForm.StreamToFile(string, string, string)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1110","9","1124","10","0","0","0","0","0","0","0","5","5","0","0","14","15","1","0","0","0","0","11","3","0","5","14","15","11","0","0","0","0","0","0","0","0","0","0","0"
"L812","splitContainer1_Panel1_Resize","WechatHistory.MainForm.splitContainer1_Panel1_Resize(object, System.EventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1126","9","1140","10","0","0","0","0","0","0","0","0","0","0","0","15","15","1","0","0","0","0","12","2","0","0","15","15","12","0","0","0","0","0","0","0","0","0","0","0"
"L814","splitContainer1_Panel2_Resize","WechatHistory.MainForm.splitContainer1_Panel2_Resize(object, System.EventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1142","9","1165","10","0","0","0","0","0","0","0","0","0","0","0","24","24","1","0","0","0","0","21","2","0","0","24","24","21","0","0","0","0","0","0","0","0","0","0","0"
"L979","GetMd5Hash","WechatHistory.MainForm.GetMd5Hash(System.Security.Cryptography.MD5, string)string","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1173","9","1192","10","0","0","0","0","0","0","0","12","6","0","0","10","20","2","0","0","0","0","5","2","0","12","10","20","5","0","0","0","0","0","0","0","0","0","0","0"
"L1229","VerifyMd5Hash","WechatHistory.MainForm.VerifyMd5Hash(System.Security.Cryptography.MD5, string, string)bool","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1202","9","1218","10","0","0","0","0","0","0","0","9","7","0","0","13","17","2","0","0","0","1","5","3","0","9","13","17","5","0","0","0","0","0","0","0","0","0","0","0"
"L1243","CopyDirectory","WechatHistory.MainForm.CopyDirectory(string, string)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1225","9","1241","10","0","0","0","0","0","0","0","6","4","0","0","16","17","3","0","0","0","0","8","2","0","6","16","17","8","0","0","0","0","0","0","0","0","0","0","0"
"L1269","LoadHistory","WechatHistory.MainForm.LoadHistory(WechatHistory.FriendInfo, out int)string","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1249","9","1690","10","0","0","0","0","0","0","0","57","5","0","0","404","442","80","0","0","0","4","296","2","0","57","404","442","296","0","0","7","0","0","1","0","1","0","0","6"
"L1437","GetEmojiFromByte","WechatHistory.MainForm.GetEmojiFromByte(byte, byte)string","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1693","9","1700","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","0","5","2","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L1443","GetQQEmojiFromByte","WechatHistory.MainForm.GetQQEmojiFromByte(byte, byte, byte)string","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1702","9","1710","10","0","0","0","0","0","0","0","0","0","0","0","9","9","1","0","0","0","0","6","3","0","0","9","9","6","0","0","0","0","0","0","0","0","0","0","0"
"L1407","ReplaceEmoji","WechatHistory.MainForm.ReplaceEmoji(ref string)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1715","9","1975","10","0","0","0","0","0","0","0","7","2","0","0","254","261","2","0","0","0","2","252","1","0","7","254","261","252","0","0","6","0","0","1","0","0","0","0","6"
"L1451","tvFriends_AfterSelect","WechatHistory.MainForm.tvFriends_AfterSelect(object, System.Windows.Forms.TreeViewEventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","1982","9","1996","10","0","0","0","0","0","0","0","5","5","0","0","13","15","2","0","0","0","2","11","2","0","5","13","15","11","0","0","0","0","0","0","0","0","0","0","0"
"L279","SetHistory","WechatHistory.MainForm.SetHistory(WechatHistory.FriendInfo, int, string, string)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","2002","9","2018","10","0","0","0","0","0","0","0","4","3","0","0","16","17","2","0","0","0","2","11","4","0","4","16","17","11","0","0","0","0","0","0","0","0","0","0","0"
"L1495","btnBackward_MouseDown","WechatHistory.MainForm.btnBackward_MouseDown(object, System.Windows.Forms.MouseEventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","2022","9","2025","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1512","btnBackward_MouseUp","WechatHistory.MainForm.btnBackward_MouseUp(object, System.Windows.Forms.MouseEventArgs)void","L155","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","2026","9","2029","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
